geo_point_2d,geo_shape,str_from,segpart,statusid,segid,streetname,streetid,schedule,mapstatus,str_to,segdescr
"-37.80502615795738, 144.93652383879905","{""coordinates"": [[[144.933647977148, -37.804007803039], [144.933801397522, -37.804039867175], [144.933955389558, -37.804069093518], [144.934110920665, -37.804092785822], [144.934122110085, -37.804070137387], [144.934232081837, -37.804079456252], [144.934203720556, -37.804180684939], [144.93446826165, -37.804262977743], [144.934462800486, -37.804269632638], [144.934545541253, -37.804312447786], [144.934562152238, -37.804292185185], [144.934829382012, -37.80437531287], [144.934837616204, -37.804379481917], [144.934838541146, -37.8043781626], [144.935468049235, -37.804573982897], [144.935936556233, -37.804722876283], [144.935964080011, -37.804730299559], [144.936208027859, -37.804796092922], [144.936439155558, -37.804867669245], [144.936483278075, -37.804881332823], [144.936509252499, -37.804889376767], [144.936518207636, -37.804945218993], [144.93664504483, -37.804940969309], [144.936648572654, -37.804932521344], [144.936868728558, -37.805000699108], [144.937791277805, -37.805245275728], [144.937923560454, -37.805301580664], [144.93824367642, -37.805437835353], [144.938529617838, -37.805559276707], [144.938750828265, -37.805671355694], [144.939114215867, -37.805855094036], [144.939155731478, -37.80586639408], [144.939228610719, -37.805883604974], [144.939302248853, -37.80589864556], [144.93936862705, -37.805910125586], [144.939376540822, -37.805911495074], [144.93945138492, -37.805922134612], [144.939510183716, -37.805928348844], [144.939569223279, -37.805932929827], [144.939628428729, -37.805935874449], [144.939687724124, -37.805937176874], [144.939747035643, -37.805936836712], [144.939763178106, -37.805936296368], [144.939806287195, -37.805934853532], [144.939880328301, -37.805929515358], [144.939954042891, -37.805921825671], [144.940027311303, -37.805911798598], [144.94010001726, -37.805899449229], [144.940172039815, -37.805884797076], [144.94024326466, -37.805867868078], [144.940313577512, -37.805848687273], [144.940382861593, -37.805827287765], [144.940963371564, -37.805601652185], [144.941083355465, -37.805554369398], [144.941216345464, -37.805703425539], [144.941216883011, -37.805704027909], [144.941070206282, -37.805763248774], [144.940917463091, -37.805824017928], [144.940764242963, -37.80588407923], [144.94061058268, -37.805943417099], [144.940538996815, -37.805971828168], [144.9404660085, -37.805997896845], [144.940391740416, -37.806021582018], [144.940316316403, -37.806042841691], [144.940239861214, -37.806061641999], [144.940162502931, -37.806077951836], [144.940084369563, -37.8060917428], [144.940005593484, -37.806102992874], [144.939926303587, -37.806111682684], [144.939846633158, -37.806117798338], [144.939780796832, -37.806120568406], [144.939714880385, -37.806121603177], [144.939648958848, -37.806120900359], [144.939583102614, -37.806118461184], [144.9395173877, -37.806114288785], [144.939451884421, -37.806108387096], [144.939448767839, -37.806107974794], [144.939453372707, -37.806112133183], [144.939559721247, -37.80622733919], [144.939599205738, -37.806272493975], [144.939728677523, -37.806435441271], [144.939679524711, -37.806412804411], [144.939640937879, -37.806364036332], [144.939622072648, -37.80634406697], [144.939611501096, -37.806350046434], [144.939600989294, -37.806356091847], [144.939590537898, -37.806362202833], [144.939582419198, -37.806368081517], [144.938095798165, -37.805683395024], [144.937181658484, -37.805400585274], [144.936365693242, -37.805148580679], [144.935948587865, -37.805019757914], [144.935642114452, -37.804925103659], [144.935552476419, -37.804897397277], [144.935453308776, -37.804910077445], [144.935114093262, -37.804983679855], [144.935022809923, -37.804733579753], [144.934696169937, -37.804632711789], [144.934696549575, -37.804632130883], [144.934560182415, -37.804589907241], [144.934553726018, -37.804585198014], [144.934460405457, -37.80453886205], [144.934428551275, -37.804548798361], [144.93420271174, -37.804478922184], [144.934076563496, -37.80443989078], [144.934077559814, -37.804434543576], [144.932268890905, -37.803871082091], [144.932380876017, -37.803613618765], [144.933376921667, -37.803923481793], [144.933647977148, -37.804007803039]]], ""type"": ""Polygon""}",,,,21673,,,Not determined by precinct plan,,,Dynon Road between Railway Place and Radcliffe Street
"-37.825188494724564, 144.93659285166578","{""coordinates"": [[[[144.936145625252, -37.825057943851], [144.936416107977, -37.824850469227], [144.937019211413, -37.825323211951], [144.937080057395, -37.82532658599], [144.937083244447, -37.82540339544], [144.93708382258, -37.825417352988], [144.937062594703, -37.825417909244], [144.936994377444, -37.825399893579], [144.936946827895, -37.825437986451], [144.936599230862, -37.825430013398], [144.936496377912, -37.825345650028], [144.936145625252, -37.825057943851]]]], ""type"": ""MultiPolygon""}",,,,22559,,,Years 8 - 10,,,Ingles Street between Rogers Street and Westgate Freeway
"-37.846369313214645, 144.9794238734783","{""coordinates"": [[[[144.979126136677, -37.845052184421], [144.980080317443, -37.847672476995], [144.979697130674, -37.847625749266], [144.97878708615, -37.845129924707], [144.979126136677, -37.845052184421]]]], ""type"": ""MultiPolygon""}",,,,22477,,,Not determined by precinct plan,,,St Kilda Road between Commercial Road and Moubray Street
"-37.78361197217697, 144.96375266265008","{""coordinates"": [[[[144.963508358323, -37.784764254092], [144.96388457777, -37.782431692686], [144.963994498079, -37.782477458707], [144.963623526594, -37.784776101597], [144.963508358323, -37.784764254092]]]], ""type"": ""MultiPolygon""}",,,,22511,,,Years 8 - 10,,,Garton Street between MacPherson Street and Bowen Crescent
"-37.805816609607334, 144.94190379561005","{""coordinates"": [[[[144.941967017095, -37.806096140926], [144.941947609098, -37.80608768215], [144.941765927544, -37.806007363504], [144.94176937597, -37.805997721863], [144.941772296326, -37.80598797105], [144.941774683162, -37.805978129261], [144.941831588964, -37.805659035916], [144.941845880429, -37.805597730116], [144.941872514688, -37.805578766319], [144.942014608764, -37.80559547117], [144.94202275105, -37.805550889105], [144.942045253072, -37.805553326226], [144.941950688222, -37.806070829942], [144.941967017095, -37.806096140926]]]], ""type"": ""MultiPolygon""}",,,,21437,,,Not determined by precinct plan,,,Anderson Street between Ireland Street and Dynon Road
"-37.84141432026122, 144.98531353955724","{""coordinates"": [[[[144.984838112359, -37.84144423552], [144.984876685241, -37.841263920003], [144.985781840328, -37.841379040231], [144.985743724588, -37.841568109794], [144.984838112359, -37.84144423552]]]], ""type"": ""MultiPolygon""}",,,,22303,,,Not determined by precinct plan,,,Pasley Street North between Punt Road and Pasley Street
"-37.79290613794991, 144.9410933589885","{""coordinates"": [[[[144.941397946138, -37.792977034744], [144.940775905682, -37.792908139443], [144.94078872731, -37.792835237744], [144.941410857727, -37.792904143555], [144.941397946138, -37.792977034744]]]], ""type"": ""MultiPolygon""}",,,,23242,,,Years 5 - 7,,,Smyth Mews between Buncle Street and Pearl Street
"-37.80000803172726, 144.97406262584815","{""coordinates"": [[[[144.974362362098, -37.79994969335], [144.97433157795, -37.800130283746], [144.97406621254, -37.80010028666], [144.974027897722, -37.8000959552], [144.973761960815, -37.800065892626], [144.973793427699, -37.799886384741], [144.974048676187, -37.799914556525], [144.974089376822, -37.799918897479], [144.974362362098, -37.79994969335]]]], ""type"": ""MultiPolygon""}",,,,20614,,,Complete,,,Murchison Street between Nicholson Street and Barrup Street
"-37.79339594862746, 144.95655438439894","{""coordinates"": [[[[144.956661270291, -37.793504075257], [144.956510347588, -37.793673300361], [144.956264610383, -37.79394879502], [144.956233823382, -37.793982377525], [144.956123598316, -37.794105717483], [144.95584317257, -37.793947903404], [144.956542471148, -37.793164588724], [144.956544271252, -37.793165613957], [144.956715219187, -37.792976407452], [144.95672515548, -37.792953709755], [144.956722695602, -37.792923336137], [144.956692569149, -37.79289838522], [144.956653950029, -37.792885077054], [144.956627270205, -37.792881270777], [144.957021689202, -37.792807705017], [144.957648838051, -37.792690727106], [144.957572680037, -37.79270593024], [144.957499195, -37.792727912847], [144.957428626486, -37.792755189795], [144.957361574014, -37.79278752935], [144.957298607233, -37.792824656767], [144.957240261083, -37.79286625663], [144.957187031248, -37.792911975522], [144.957142004427, -37.792962885082], [144.956977588018, -37.793148360202], [144.956950618686, -37.793179586767], [144.956661270291, -37.793504075257]]]], ""type"": ""MultiPolygon""}",,,,22364,,,Years 8 - 10,,,Park Drive between Bayles Street and Gatehouse Street
"-37.805135579890454, 144.96844022555567","{""coordinates"": [[[[144.967890915107, -37.804939332598], [144.967896252438, -37.804908084445], [144.967895936618, -37.80491080446], [144.967895954349, -37.804913539158], [144.967896270456, -37.804916264264], [144.967896882564, -37.804918959293], [144.96789778607, -37.804921603985], [144.967898974184, -37.80492417846], [144.967900437972, -37.804926663364], [144.967902166433, -37.804929040017], [144.967904146571, -37.804931290553], [144.967906363503, -37.804933398055], [144.967908800562, -37.804935346679], [144.967911439428, -37.804937121777], [144.967914260264, -37.804938710005], [144.967917241866, -37.804940099424], [144.967920361818, -37.804941279588], [144.967923596668, -37.804942241628], [144.967926922099, -37.804942978309], [144.967930308401, -37.804943511663], [144.969034515282, -37.805060644368], [144.968986494194, -37.805333313706], [144.968548182326, -37.805285730927], [144.968517791007, -37.80528243101], [144.968301777854, -37.805258980202], [144.96826060004, -37.805254510031], [144.967846913002, -37.80520959705], [144.967890915107, -37.804939332598]]]], ""type"": ""MultiPolygon""}",,,,22497,,,Years 5 - 7,,,Queensberry Street between Rathdowne Street and Drummond Street
"-37.81220191158631, 144.93636925566008","{""coordinates"": [[[[144.937724261277, -37.814647368249], [144.937727554022, -37.814652810424], [144.937543593101, -37.814722877914], [144.936216246141, -37.812529533999], [144.936049679436, -37.812254278395], [144.93602517781, -37.812204428002], [144.936004127292, -37.812153743153], [144.935988901379, -37.8121017964], [144.935979623938, -37.812049010343], [144.935976370444, -37.81199581441], [144.935979608345, -37.811942674686], [144.936001698211, -37.81175591544], [144.936003861242, -37.811721568463], [144.936002047264, -37.811687173714], [144.935996566518, -37.811653001038], [144.935987458475, -37.811619296541], [144.93597478873, -37.811586302958], [144.935958648528, -37.811554257904], [144.935939154109, -37.811523392161], [144.935918067929, -37.811493069843], [144.935693721724, -37.811226246967], [144.935656978567, -37.811173424559], [144.935623577556, -37.811119425596], [144.935596441961, -37.811063290359], [144.935575794172, -37.8110054789], [144.935561803404, -37.81094646501], [144.93555458432, -37.810886732333], [144.935554196082, -37.810826770404], [144.935561426165, -37.810767157546], [144.935700835243, -37.809975153212], [144.935796806788, -37.809994270201], [144.9358925952, -37.810013956923], [144.935988195106, -37.810034212276], [144.935996506379, -37.809991790173], [144.936169954175, -37.810032564233], [144.936100938134, -37.810034159012], [144.935992274762, -37.810121228915], [144.935967946381, -37.810292134294], [144.935957482574, -37.810349099171], [144.935943970428, -37.810405658822], [144.935927434453, -37.810461710618], [144.935828477434, -37.810719589306], [144.93581454977, -37.810757652866], [144.935806037813, -37.810796772853], [144.935801764955, -37.810836353627], [144.935801762306, -37.810876107003], [144.935806029886, -37.810915743539], [144.935814536622, -37.810954974643], [144.935827220579, -37.810993514675], [144.935843989404, -37.811031083028], [144.935864721004, -37.811067406169], [144.935887413521, -37.811103117876], [144.936099894959, -37.811378734238], [144.93611061353, -37.811393007336], [144.936120774638, -37.81140753481], [144.9361303687, -37.811422302962], [144.936154280124, -37.811469362447], [144.9361747093, -37.811517301136], [144.936189436314, -37.811566505641], [144.936198333003, -37.811616547759], [144.936201401481, -37.811666992489], [144.936201141872, -37.811691407908], [144.936200550616, -37.81170016615], [144.936199784405, -37.811708915854], [144.93619884343, -37.811717654821], [144.936194453406, -37.811957373531], [144.936191842897, -37.812001436394], [144.936194591154, -37.81204554071], [144.936202316037, -37.812089303408], [144.936214955143, -37.812132370973], [144.936232406375, -37.812174395505], [144.936252697422, -37.812215734941], [144.937065421042, -37.813558712765], [144.937132360897, -37.813669323891], [144.937724261277, -37.814647368249]]]], ""type"": ""MultiPolygon""}",,,,23224,,,Years 8 - 10,,,Pearl River Road between Footscray Road and Docklands Drive
"-37.788662937078435, 144.95888917628358","{""coordinates"": [[[[144.959343659306, -37.787867383478], [144.959172734414, -37.789253381499], [144.958439956931, -37.789697665377], [144.958571522086, -37.788631629418], [144.958670075136, -37.787815062883], [144.959343659306, -37.787867383478]]]], ""type"": ""MultiPolygon""}",,,,22434,,,Not determined by precinct plan,,,Royal Parade between MacArthur Road and Leonard Street
"-37.810075884097046, 144.93758008022286","{""coordinates"": [[[[144.938652652505, -37.810756602957], [144.938357369828, -37.810629740766], [144.937640270956, -37.81038664068], [144.936682015608, -37.810152938323], [144.936169954175, -37.810032564233], [144.936429452346, -37.809603455296], [144.936572084127, -37.809460720008], [144.936552532081, -37.809448328706], [144.936619623425, -37.809464321226], [144.93668661364, -37.809480578442], [144.936753501069, -37.809497099949], [144.936832301463, -37.809516936614], [144.936910953686, -37.809537140098], [144.936989455023, -37.809557709704], [144.937672522919, -37.80975414132], [144.938341908445, -37.809978272696], [144.938995828507, -37.810229506864], [144.938652652505, -37.810756602957]]]], ""type"": ""MultiPolygon""}",,,,23228,,,Not determined by precinct plan,,,Footscray Road between Waterfront Way and Pearl River Road
"-37.80408601156993, 144.9494408002252","{""coordinates"": [[[[144.949246964306, -37.804198600481], [144.949251705091, -37.804171379235], [144.949426959618, -37.803164916549], [144.94977444391, -37.803208995602], [144.94972590764, -37.803476063695], [144.949720161797, -37.80350599983], [144.949582873661, -37.804261783546], [144.949572807525, -37.804318356179], [144.949497676244, -37.804740593087], [144.949492016941, -37.804772402451], [144.949448810615, -37.805015216106], [144.949093077048, -37.804970263283], [144.949113572776, -37.80495978812], [144.949173573239, -37.804615883977], [144.949183861399, -37.804560987833], [144.949246964306, -37.804198600481]]]], ""type"": ""MultiPolygon""}",,,,20992,,,Not determined by precinct plan,,,Errol Street between Victoria Street and Queensberry Street
"-37.822170058349386, 144.95128580804953","{""coordinates"": [[[[144.950212286322, -37.822317932462], [144.952467971129, -37.821663878196], [144.952437571479, -37.821695277202], [144.95234509149, -37.821800221812], [144.952280404073, -37.821907132146], [144.952171163708, -37.822048597139], [144.952094620519, -37.822046941382], [144.952070888936, -37.822048716766], [144.952047497522, -37.822052314199], [144.95202461882, -37.822057550671], [144.952002434109, -37.82206438469], [144.95198111917, -37.822072762107], [144.951960842893, -37.822082616543], [144.951942453512, -37.822094536765], [144.951863952264, -37.822141433549], [144.951811504974, -37.822172404695], [144.951792985361, -37.822179493775], [144.951771920147, -37.822189940496], [144.951563169443, -37.822285245908], [144.951337615862, -37.822353349543], [144.951051598851, -37.822435262687], [144.950714767291, -37.822530964492], [144.950585311721, -37.822554378405], [144.950487923711, -37.822614802835], [144.950212286322, -37.822317932462]]]], ""type"": ""MultiPolygon""}",,,,22803,,,Complete,,,Wurundjeri Way between Batmans Hill Drive and Flinders Street
